time,actual_h,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1980.2500,93.93771781,99.53231702,84.44724417,104.59497530,105.85705604,93.69660359,110.43391816,89.16145374,88.09842631
1980.5000,92.58472877,99.09949599,84.10909755,102.69997297,107.02968951,92.62490233,109.13303560,89.37763928,85.76200846
1980.7500,92.07984177,98.93449143,84.30162635,101.51057746,107.54160053,92.20856777,108.21389992,89.86854361,84.82864038
1981.0000,92.23841288,99.05832864,83.39603331,103.09248030,107.13527216,92.31101866,109.64760387,88.69876054,85.35167774
1981.2500,92.59637831,99.14790137,82.27559034,105.11076362,106.89078248,92.64886128,111.64842601,87.39295429,85.93762668
1981.5000,92.79018633,98.93528754,83.02891537,104.52737570,107.00509416,93.06726075,110.89674196,88.08827487,86.04857811
1981.7500,92.18511522,98.97398509,81.48510405,105.71302505,107.05388836,92.41742037,112.25266865,86.52595440,85.44220603
1982.0000,91.51383415,98.80461593,81.35111507,105.33479491,107.03232455,91.91084011,111.62988053,86.21287263,84.84553891
1982.2500,90.85273060,98.60267658,81.97511959,104.00536115,107.00461138,91.43015680,109.97554167,86.68070646,84.25111837
1982.5000,90.67539994,98.53161773,81.54432505,104.03469587,107.34161576,91.28939900,110.30678296,86.46050329,83.79687692
1982.7500,90.36588351,98.58806216,81.93505349,103.93498033,106.54911810,90.99050528,109.48400237,86.30951352,84.19194593
1983.0000,89.94725622,98.56566943,82.78855512,102.11464144,106.73828993,90.52123702,107.77197780,87.37519124,83.59030607
1983.2500,90.07364801,98.59738413,82.77694089,101.95046399,106.95134591,90.58891771,107.90239676,87.60951121,83.51302400
1983.5000,90.89039901,98.79672979,82.71077005,103.42230356,106.30741839,91.31325675,109.07226650,87.22926142,84.86191547
1983.7500,92.50110317,98.90787014,83.96374248,104.27283127,105.69062882,92.94233776,109.48450370,88.16034399,86.97770821
1984.0000,93.45872561,99.10728773,83.93840936,106.17711314,104.81934781,93.84548867,110.80471883,87.59676708,88.73144169
1984.2500,94.49064419,99.23623393,83.90237793,107.97528598,104.24773835,94.86910100,112.20721666,87.19080680,90.30845607
1984.5000,95.69374784,99.25549856,84.90896368,108.10479208,104.24163131,96.09500832,112.33157899,88.22881740,91.49854852
1984.7500,95.86244474,99.25959729,85.05812050,108.09357699,104.27799064,96.26040030,112.33223252,88.39349049,91.62785465
1985.0000,96.18807088,99.24418493,85.54748639,107.93474900,104.24777197,96.61625962,112.08513939,88.83702446,91.97896277
1985.2500,96.48923926,99.14699863,86.36966120,106.60806859,104.91327181,96.93462870,111.27492414,90.15056389,91.60687998
1985.5000,96.30276630,99.28637551,86.40438453,106.84479276,104.35032115,96.64910149,111.05847274,89.81194811,91.95888310
1985.7500,96.27785335,99.35765396,86.56904872,106.30303837,104.54760322,96.50311747,110.75925511,90.19801785,91.71251235
1986.0000,96.65079729,99.40744549,87.12927083,106.44684421,104.16345750,96.87915755,110.53127705,90.47247614,92.45574028
1986.2500,96.89668550,99.38933606,87.48378177,106.14869228,104.32599787,97.12863300,110.34674257,90.94365780,92.53254743
1986.5000,97.06109977,99.30459604,87.41572904,106.32067950,104.53113576,97.37899293,110.62290119,90.95296984,92.51005919
1986.7500,97.56660643,99.31278492,87.82116023,106.46721972,104.48519845,97.90092052,110.71150777,91.32212797,93.05445372
1987.0000,97.91870189,99.28142387,88.64105022,105.86422154,104.54009812,98.28298069,110.08076102,92.17159607,93.33905784
1987.2500,98.52495194,99.30799027,89.76938638,105.47861244,104.27636429,98.90196297,109.41096483,93.11608248,94.18965883
1987.5000,99.27232453,99.33230686,90.65089044,105.41116463,104.13965961,99.66108826,109.20538951,93.91382626,95.06047780
1987.7500,99.77649897,99.33732509,91.21067166,105.40207199,104.07327371,100.18488807,109.11112278,94.42033355,95.62588395
1988.0000,100.22012436,99.37110372,91.12261806,105.71656989,104.29578965,100.58142890,109.68613300,94.54419126,95.83212934
1988.2500,100.53932787,99.27690444,92.23417187,104.36850004,104.76791540,100.93787938,108.64520169,96.01364590,95.64760516
1988.5000,100.93481438,99.27705385,92.59446904,104.00467654,105.11346896,101.29480261,108.60529444,96.69035959,95.67041857
1988.7500,101.46693681,99.25767391,93.78782724,103.27217915,105.10725964,101.85305150,107.79327414,97.89371209,96.18457380
1989.0000,102.13752988,99.28062482,94.42081206,103.17881377,105.18107229,102.50626752,107.78223641,98.63348797,96.75587124
1989.2500,103.08319010,99.24156720,95.15935610,103.36447631,105.23637634,103.53172876,107.97310363,99.40214844,97.63402518
1989.5000,103.35255328,99.13424117,95.56074846,102.73871085,105.78823191,103.86171085,107.74561792,100.21784200,97.32889666
1989.7500,103.40151826,99.08033935,95.62217608,102.48999805,106.07044907,103.93932425,107.69827608,100.48144907,97.08965700
1990.0000,103.26676992,99.06439172,96.23110295,101.84054426,105.96016643,103.81853109,106.87521307,100.98845903,97.06213172
1990.2500,103.78252005,99.04901191,96.47926506,102.09038793,105.99750389,104.37408288,107.15410997,101.26467328,97.53201159
1990.5000,103.05415384,99.00924393,96.27931275,101.20582312,106.36091032,103.60205645,106.53961880,101.35346922,96.44108205
1990.7500,102.18003309,99.04369169,96.31831374,100.44902985,106.14557466,102.66162263,105.56648788,101.22532906,95.79284047
1991.0000,101.31150374,98.90475629,96.44359525,99.37565739,106.33434800,101.88705223,104.48712581,101.40425065,94.76819354
1991.2500,100.34011482,98.69478124,95.63389674,98.60544334,107.13033418,101.02491997,104.25835103,101.11644996,93.07011364
1991.5000,99.91088192,98.68556172,95.30255898,98.18531237,107.40982787,100.54594743,104.11507737,101.05822410,92.37919377
1991.7500,99.53040809,98.68792750,94.62543515,98.56066520,107.31841970,100.16840543,104.46887053,100.29774366,92.11291371
1992.0000,99.25861197,98.69090985,94.16287024,98.88931139,107.16719264,99.90888623,104.71323632,99.70843912,92.00669199
1992.2500,99.23553128,98.76018101,94.87427188,97.93559025,107.21004654,99.77025596,103.85669733,100.61029411,91.90676487
1992.5000,99.36300765,98.81566171,94.48721315,98.58275932,107.00978306,99.87361392,104.44881289,100.10956596,92.22593453
1992.7500,99.43240966,98.84417328,94.75521644,98.28596785,107.02280928,99.90097645,104.21198745,100.46835415,92.26658777
1993.0000,99.31409182,98.93706464,94.65232624,98.42967959,106.73418707,99.70235119,104.21569503,100.21629661,92.41891690
1993.2500,99.57292321,98.92697596,94.84028515,98.96953426,106.28045728,100.05126001,104.36249299,100.00823655,93.12877312
1993.5000,99.97421212,98.92136960,95.12824738,99.37185500,105.99230946,100.51898236,104.52705353,100.06329666,93.81317811
1993.7500,100.36121654,98.89373051,95.84817149,99.17188465,105.84949649,100.96703818,104.17524829,100.68384905,94.33211677
1994.0000,100.60104924,98.95287542,95.38537085,99.99506378,105.68125888,101.18263958,104.96696757,100.12807383,94.74066864
1994.2500,101.05535600,98.98499480,95.59232775,100.50418968,105.39328641,101.66174310,105.26981975,100.12505095,95.48034277
1994.5000,101.32497817,99.05917540,95.28021713,101.24032235,105.19010299,101.89145218,105.93262209,99.69627713,95.95278402
1994.7500,101.64668115,99.02730634,95.90264376,100.95467733,105.17453851,102.25995019,105.59174404,100.30765964,96.28306962
1995.0000,102.44049906,99.05352769,96.21070993,101.74870409,104.87160909,103.10794494,106.15456103,100.37676421,97.38770834
1995.2500,102.62904751,99.01130590,96.50804986,101.78779364,104.77210764,103.37114159,106.05241465,100.55146451,97.68737072
1995.5000,102.18680519,99.03454388,96.77006453,101.13087368,104.66277554,102.88056827,105.28803719,100.74796926,97.34817465
1995.7500,102.07983003,98.97976564,96.65808785,100.70754283,105.10201381,102.77216058,105.24069527,101.00896202,96.78562761
1996.0000,101.85455314,99.02056738,96.27186020,101.03542986,104.90848494,102.51944448,105.44652964,100.47498758,96.76561020
1996.2500,101.45859146,99.10755980,96.11869345,101.07357430,104.54047147,102.04699780,105.22020820,100.06204892,96.74367061
1996.5000,101.52943515,99.21299687,95.80507679,101.39512695,104.49261302,102.00157551,105.62991369,99.80639402,96.84782205
