time,actual_y,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1980.2500,102.36493810,106.83419185,89.34227100,103.04032373,103.86754685,95.35414964,114.02310912,98.86501854,98.07763661
1980.5000,99.57811737,104.58445890,89.10361325,101.79197783,104.63320068,94.66802661,111.11563244,97.26507481,94.62392696
1980.7500,98.48130779,103.71276063,89.23953571,101.00453313,104.96656787,94.36796095,109.67293440,96.89824251,93.24075221
1981.0000,99.19902071,104.48439688,88.59929431,102.05117096,104.70200174,94.39400726,111.31805275,96.64466192,94.19782576
1981.2500,100.14645716,105.28962109,87.80394008,103.37879385,104.54264990,94.60986763,113.45091239,96.35861228,95.28586777
1981.5000,98.70145008,103.45459544,88.33908767,102.99592239,104.61717030,94.91564786,111.15645643,95.33833692,93.86088270
1981.7500,98.93249338,104.18272904,87.24063466,103.77330945,104.64897143,94.46826864,112.81396650,94.84097682,94.04738433
1982.0000,97.13418956,102.65798050,87.14497308,103.52563491,104.63491803,94.13494727,110.89226652,93.34599676,92.35639272
1982.2500,94.89562054,100.65582707,87.59003622,102.65272540,104.61685563,93.79233999,107.78332744,91.96780229,90.24115184
1982.5000,94.66987698,100.55943979,87.28289883,102.67202663,104.83639669,93.63968738,107.88315501,91.71295058,89.81951690
1982.7500,93.68053931,99.83533361,87.56149360,102.60640986,104.31975849,93.37752974,106.46662648,90.85569650,89.36348174
1983.0000,93.08689187,99.56699315,88.16851688,101.40483852,104.44319780,92.98908229,105.01076402,91.30376276,88.64764307
1983.2500,93.53467866,100.07401957,88.16027070,101.29611855,104.58213483,92.94223728,105.50220863,91.82092469,88.93587119
1983.5000,94.74920285,100.99543048,88.11328164,102.26871627,104.16193708,93.34966594,106.99737341,92.18742585,90.51185070
1983.7500,95.74572381,101.00077193,89.00092601,102.82864442,103.75865207,94.40457616,107.13298719,92.72644913,91.89532512
1984.0000,96.86813040,101.65278533,88.98302317,104.07680272,103.18762945,94.98631925,108.51085495,92.77402522,93.57346391
1984.2500,97.97036797,102.13834445,88.95755676,105.24857924,102.81214684,95.68490384,109.86247850,92.85728831,95.05781143
1984.5000,98.91161869,102.22057333,89.66763050,105.33271955,102.80813151,96.55102528,110.06760304,93.69834181,95.99922706
1984.7500,99.17166070,102.31463533,89.77261059,105.32543441,102.83203633,96.71583962,110.22789463,93.95115165,96.22921235
1985.0000,99.24543761,102.09062839,90.11660782,105.22223540,102.81216894,97.00945334,109.89934365,94.12227381,96.32863651
1985.2500,99.49761172,102.01513777,90.69307852,104.35823298,103.24926151,97.27497540,109.41871396,95.09091648,96.11226145
1985.5000,99.70262427,102.41444279,90.71738454,104.51266146,102.87958254,97.12056344,109.64324467,95.17075013,96.68146141
1985.7500,100.49551552,103.25062915,90.83260373,104.15907598,103.00920941,97.06548399,110.33562707,96.21890553,97.29297360
1986.0000,100.60509605,103.08385752,91.22405777,104.25299182,102.75672589,97.36253409,110.02038100,96.27067211,97.67249302
1986.2500,100.86846705,103.11628294,91.47133812,104.05822945,102.86359494,97.57688146,109.99910491,96.69360484,97.81658247
1986.5000,100.71980918,102.74224454,91.42389556,104.17059922,102.99839235,97.78947738,109.89589031,96.44861865,97.54628368
1986.7500,101.10428377,102.73856129,91.70635812,104.26629511,102.96821432,98.18155391,109.99271807,96.74297513,97.96257671
1987.0000,101.09556453,102.41205592,92.27624822,103.87223401,103.00427957,98.48455562,109.30229622,97.10011452,97.91831815
1987.2500,101.22697716,102.10248397,93.05766929,103.61984510,102.83096714,98.93619615,108.55237895,97.48742021,98.23530462
1987.5000,101.67990792,102.02519192,93.66587250,103.57566757,102.74107430,99.47631619,108.35419539,97.98720577,98.78318209
1987.7500,101.96260644,101.92869803,94.05107615,103.56971127,102.69740676,99.86241478,108.22678843,98.28014190,99.11492648
1988.0000,102.96569150,102.61002026,93.99053595,103.77562930,102.84373747,100.16548204,109.35124517,99.04042221,99.93785128
1988.2500,102.93868858,102.24614582,94.75334894,102.89153064,103.15387218,100.45602024,108.39976643,99.82591210,99.57203425
1988.5000,103.68993069,102.68848271,94.99994717,102.65227493,103.38056768,100.72676438,108.87878268,100.76229299,100.05244540
1988.7500,103.73113048,102.31920234,95.81444387,102.16972571,103.37649634,101.13334167,107.99919544,101.28130205,100.09898977
1989.0000,104.44576826,102.56167034,96.24506884,102.10813731,103.42488881,101.59183646,108.25934841,102.04307624,100.74391726
1989.2500,104.85816395,102.27632185,96.74629223,102.23059122,103.46113940,102.30102088,108.14855946,102.34678301,101.12948879
1989.5000,104.93732208,102.06429752,97.01815880,101.81757316,103.82252155,102.55608307,107.89026203,102.80459699,100.81930605
1989.7500,104.95876398,101.98826089,97.05973066,101.65318486,104.00708829,102.63500173,107.84663487,102.97331409,100.64280718
1990.0000,104.46342640,101.56133550,97.47134876,101.22329597,103.93498424,102.57868002,106.88297503,102.92124591,100.23600631
1990.2500,104.76457481,101.49755518,97.63885047,101.38878127,103.95939870,102.95274850,107.02145940,103.06320029,100.51474328
1990.5000,104.41505967,101.59366820,97.50390013,100.80227511,104.19687573,102.45871664,106.75631282,103.26311437,99.89893450
1990.7500,103.67372835,101.47212441,97.53022972,100.29912965,104.05619196,101.83597697,105.95189772,103.02694511,99.30704488
1991.0000,102.08366347,100.41068320,97.61478330,99.58333727,104.17952708,101.30431257,104.20588862,102.14595649,97.63948370
1991.2500,100.83360013,99.72979862,97.06766174,99.06812118,104.69878450,100.68058680,103.44181024,101.35303392,95.90230387
1991.5000,100.73778674,99.99020451,96.84332858,98.78651943,104.88080541,100.28559267,103.54432327,101.50754352,95.60926694
1991.7500,100.37112612,99.96209770,96.38406967,99.03812675,104.82129302,99.95382965,103.66437648,100.88634361,95.32027509
