time,ypc_dt,xpc_dt,hpc_dt,gpc_dt,cpc_dt
1980.2500,1.028486731,0.3140046427,0.2317980499,0.1385895367,0.5758925515
1980.5000,1.005214723,0.2876086363,0.2284594525,0.1478680065,0.56973808
1980.7500,0.998840634,0.2762717945,0.2272136076,0.152701713,0.5698671265
1981.0000,1.010874506,0.2906661422,0.2276048932,0.1497198865,0.5704884777
1981.2500,1.025351838,0.3089454686,0.2284881986,0.1480131412,0.5683932279
1981.5000,1.01533258,0.2978747685,0.2289664337,0.149423097,0.5680347145
1981.7500,1.02251858,0.3076519631,0.2274733774,0.149945322,0.5649212952
1982.0000,1.008676353,0.2963675228,0.2258169433,0.1498475353,0.562461295
1982.2500,0.9900869892,0.2779491717,0.2241856229,0.1499401076,0.5621977099
1982.5000,0.9923993267,0.2781055686,0.2237480468,0.1532363781,0.56105738
1982.7500,0.986669027,0.2745274958,0.2229842928,0.1471747423,0.5649667889
1983.0000,0.9850496191,0.2637637754,0.2219513,0.1498491985,0.5714366452
1983.2500,0.9944654542,0.2669066331,0.2222631808,0.1525494063,0.5750094148
1983.5000,1.012138797,0.2834339111,0.2242785724,0.1480515214,0.5806533641
1983.7500,1.027617186,0.2951951782,0.2282531003,0.1442380483,0.5881839595
1984.0000,1.044576749,0.3148006893,0.2306161023,0.1380379962,0.5917380636
1984.2500,1.061455132,0.3339301638,0.2331624353,0.1343045995,0.5932203686
1984.5000,1.076717262,0.3414878736,0.2361311798,0.1353983576,0.5998310311
1984.7500,1.084649492,0.3443083994,0.2365474515,0.1364369948,0.6039040982
1985.0000,1.090585822,0.3449001852,0.2373509573,0.137012212,0.6086734247
1985.2500,1.098523666,0.3386616109,0.2380941119,0.1434536622,0.6164083926
1985.5000,1.10598902,0.3438899393,0.2376339765,0.1396985193,0.6224005615
1985.7500,1.120052483,0.347152021,0.237572502,0.1423604538,0.6305400081
1986.0000,1.126572474,0.3504267723,0.2384927679,0.1401138264,0.636031875
1986.2500,1.134859353,0.3512933836,0.2390995147,0.1423012589,0.64126471
1986.5000,1.138541799,0.3522408143,0.2395052187,0.1445101319,0.6417908532
1986.7500,1.148288742,0.3569056606,0.2407525926,0.1450100712,0.6463730103
1987.0000,1.15361559,0.3539883332,0.2416214134,0.146464107,0.6531631502
1987.2500,1.160573762,0.3537636049,0.2431173788,0.1453837036,0.6614264532
1987.5000,1.17127558,0.3575443631,0.2449615742,0.1453203923,0.6684108246
1987.7500,1.180082413,0.3606054981,0.2462056608,0.1456843242,0.6737925906
1988.0000,1.197323247,0.3705916271,0.2473003382,0.1484743611,0.6782572583
1988.2500,1.202665825,0.3618244327,0.2480879958,0.153744059,0.6870973329
1988.5000,1.217167613,0.3653411596,0.249063887,0.15793379,0.6938926634
1988.7500,1.223405362,0.36178152,0.2503769373,0.1591068683,0.7025169734
1989.0000,1.237654947,0.3670405839,0.2520316737,0.1609589264,0.7096554368
1989.2500,1.248413474,0.3718449457,0.2543651581,0.1624892488,0.7140792792
1989.5000,1.255259856,0.3685293425,0.255029831,0.16862355,0.7181069639
1989.7500,1.261449403,0.3680574759,0.2551506556,0.1721719418,0.7212199852
1990.0000,1.26142914,0.3620436235,0.2548181544,0.1720713092,0.727314207
1990.2500,1.271043787,0.367014599,0.2560908048,0.173347819,0.7306813693
1990.5000,1.272789733,0.3602480776,0.254293509,0.1777593659,0.7347822893
1990.7500,1.269725098,0.3528198721,0.2521365534,0.1764295218,0.7404757041
1991.0000,1.256159245,0.3372348548,0.249993395,0.1787910166,0.7401333738
1991.2500,1.24664038,0.3256377818,0.2475964233,0.1871038838,0.7338987145
1991.5000,1.251341323,0.3243082076,0.2465372603,0.1908864102,0.7361467051
1991.7500,1.252678556,0.3267022459,0.2455984139,0.1903595738,0.7356167367
1992.0000,1.253657218,0.3285979983,0.2449277375,0.1892740231,0.7357851961
