time,actual_x,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1980.2500,113.76196482,109.07582019,82.72087897,117.04433460,104.90128347,101.67784855,134.07249614,94.75550238,105.72410899
1980.5000,103.70876748,104.51772924,82.76731794,109.78252840,105.85282578,96.27709946,121.57774425,91.65997505,95.06277928
1980.7500,99.15226373,102.79006520,83.33438929,105.39267052,106.19308103,93.36391629,115.16113725,91.05835345,90.37201812
1981.0000,103.82766019,104.25984080,81.77151720,111.25943355,106.06152979,96.60474326,123.17241380,90.52711156,94.96369865
1981.2500,109.83809331,105.70030262,79.91469080,119.07882378,106.05692425,101.04603433,133.64997473,89.69349938,100.70626206
1981.5000,105.40407678,102.41061183,80.67818115,116.77954688,106.20544391,100.17585735,127.16041308,87.84989423,96.59646874
1981.7500,108.35174665,103.58945203,78.61944810,121.48623426,106.43936260,101.77916126,134.10482773,86.78553260,99.05402743
1982.0000,103.88656133,100.90120668,78.24410693,119.97032046,106.64549370,100.21957696,129.24010057,84.28981610,94.82141155
1982.2500,96.97207317,97.47768866,78.93975985,114.74920787,106.76377209,96.82139490,119.55858248,82.24828705,88.40007807
1982.5000,96.57028577,97.16257985,78.48507053,114.86262920,107.04562298,96.62866266,119.62389903,81.73842283,87.70737084
1982.7500,94.87946241,96.25875044,78.57589380,114.47741010,106.64143787,96.06771699,117.68696413,80.77889241,86.71449466
1983.0000,90.73065633,95.81836924,80.10433627,107.60617162,106.60661971,92.04556123,110.10209914,81.96235811,82.73084352
1983.2500,91.37992643,96.62522795,80.29872460,107.00131275,106.66191445,91.82227411,110.49176947,82.91812445,83.18197000
1983.5000,96.58190827,98.45316329,79.78865967,112.51140648,106.22425837,95.56747065,117.92302105,83.62636366,88.57599891
1983.7500,100.11652495,98.73902051,80.89584055,115.78633539,105.67054341,99.20867432,121.09111250,84.60210176,92.70102161
1984.0000,106.26364708,100.19652362,80.20076209,123.36489970,105.13686492,104.27310565,130.27061614,84.69023781,99.37335207
1984.2500,112.19079573,101.24111406,79.60445169,130.84045810,104.78556985,109.39993882,139.13507912,84.65096993,105.69939831
1984.5000,114.19034876,101.41211447,80.81646598,131.39104422,104.58914997,111.31057456,139.67748517,85.91331925,107.92936678
1984.7500,114.59199113,101.56189608,81.04016456,131.34329868,104.56630093,111.53720054,139.78167038,86.24672659,108.33250741
1985.0000,114.24905355,101.19089084,81.62856545,130.66845729,104.48626166,111.66731579,138.42844231,86.47622691,108.14546318
1985.2500,111.65487468,100.83115176,83.21056077,125.12794586,104.69638635,109.20843654,132.33431353,88.00282273,105.17662378
1985.5000,112.84536466,101.77859468,83.07965834,126.10401140,104.33283561,109.49462667,134.13884277,88.37315406,106.81401652
1985.7500,113.38000895,103.20655288,83.67952857,123.87821418,104.29628489,108.28803024,133.55756790,90.21791598,107.15659077
1986.0000,113.91124607,103.08741442,84.16644872,124.46628072,104.00986122,109.12125723,133.65216708,90.37811848,108.15347828
1986.2500,113.65585924,103.08867281,84.75835173,123.24925709,104.02651991,108.81761150,132.35112434,91.01769385,107.83657051
1986.5000,113.42637977,102.31210409,84.62785437,123.95024715,104.19547110,109.43213291,132.29960581,90.32843444,107.45411155
1986.7500,114.38797341,102.32779621,85.07896651,124.54976348,104.09970661,110.43315636,132.82227068,90.72985129,108.55344252
1987.0000,112.91936146,101.76232333,86.21922407,122.09602811,104.02176134,109.61219436,129.37244199,91.35753011,107.23132757
1987.2500,112.31691103,101.37172925,87.57291171,120.54512649,103.72189739,109.59077586,126.85893665,92.15973123,107.10762855
