time,yt,ht,xt,gt,zt,tault,tauxt
1980.2500,1.023649381,0.9393771781,1.137619648,1.360746306,1.072145569,0.8266475584,1.081403921
1980.5000,0.9957811737,0.9258472877,1.037087675,1.445018724,1.052605916,0.8211264274,1.049991272
1980.7500,0.9848130779,0.9207984177,0.9915226373,1.485236798,1.044990916,0.820720952,1.030869867
1981.0000,0.9919902071,0.9223841288,1.038276602,1.44938518,1.051872047,0.8136450005,1.056463009
1981.2500,1.001464572,0.9259637831,1.098380933,1.426123504,1.059338826,0.8032309366,1.090502646
1981.5000,0.9870145008,0.9279018633,1.054040768,1.432937112,1.042363816,0.8128461193,1.079735471
1981.7500,0.9893249338,0.9218511522,1.083517467,1.431181961,1.049427078,0.7959340881,1.10063681
1982.0000,0.9713418956,0.9151383415,1.038865613,1.423521633,1.035249201,0.7957871299,1.093533744
1982.2500,0.9489562054,0.908527306,0.9697207317,1.417701572,1.016443037,0.8028028381,1.070140834
1982.5000,0.9466987698,0.9067539994,0.9657028577,1.442053644,1.015931999,0.797297884,1.070781371
1982.7500,0.9368053931,0.9036588351,0.9487946241,1.378495514,1.00820493,0.8039687051,1.068290459
1983.0000,0.9308689187,0.8994725622,0.9073065633,1.396944116,1.005611354,0.8096627103,1.038530852
1983.2500,0.9353467866,0.9007364801,0.9137992643,1.415427618,1.010445779,0.8084689892,1.036119969
1983.5000,0.9474920285,0.9089039901,0.9658190827,1.367233067,1.018317184,0.8115253964,1.059755063
1983.7500,0.9574572381,0.9250110317,1.001165249,1.325751268,1.017590305,0.8282603198,1.073039441
1984.0000,0.968681304,0.9345872561,1.062636471,1.262796575,1.022783417,0.8307664178,1.105093821
1984.2500,0.9797036797,0.9449064419,1.121907957,1.222864029,1.026783374,0.8314054424,1.136711073
1984.5000,0.9891161869,0.9569374784,1.141903488,1.227024447,1.027466933,0.8425681796,1.13881637
1984.7500,0.991716607,0.9586244474,1.145919911,1.230621503,1.028365655,0.844030285,1.13870736
1985.0000,0.9924543761,0.9618807088,1.142490535,1.229997327,1.026201323,0.8498337952,1.135655184
1985.2500,0.9949761172,0.9648923926,1.116548747,1.281766937,1.026096555,0.8579257389,1.112331658
1985.5000,0.9970262427,0.963027663,1.128453647,1.242343703,1.029144567,0.8582373468,1.11641881
1985.7500,1.004955155,0.9627785335,1.133800089,1.260061839,1.037042995,0.8582526268,1.107479906
1986.0000,1.00605096,0.9665079729,1.139112461,1.234343471,1.035012803,0.86509574,1.109608541
1986.2500,1.008684671,0.968966855,1.136558592,1.24771762,1.035453329,0.8687391212,1.104503514
1986.5000,1.007198092,0.9706109977,1.134263798,1.261125765,1.032275481,0.8685734153,1.107478718
1986.7500,1.011042838,0.9756660643,1.143879734,1.259536629,1.032174748,0.8732990911,1.109933053
1987.0000,1.010955645,0.9791870189,1.129193615,1.266182711,1.029100945,0.8825781331,1.099243146
1987.2500,1.012269772,0.9852495194,1.12316911,1.250931229,1.025803654,0.8956524739,1.092145173
1987.5000,1.016799079,0.9927232453,1.12983356,1.244505451,1.024858797,0.905850528,1.090706771
1987.7500,1.019626064,0.9977649897,1.134147173,1.241754094,1.02385223,0.912435768,1.090374652
1988.0000,1.029656915,1.002201244,1.160072705,1.259582961,1.030458578,0.9106034074,1.096197532
1988.2500,1.029386886,1.005393279,1.127301359,1.298153923,1.027439837,0.9222640309,1.073373247
1988.5000,1.036899307,1.009348144,1.13290444,1.327258269,1.03188358,0.9251090412,1.067660663
1988.7500,1.037311305,1.014669368,1.11658963,1.330827741,1.028305104,0.9383850313,1.055302334
1989.0000,1.044457683,1.021375299,1.127492946,1.339986797,1.030586457,0.9452857576,1.053801408
1989.2500,1.048581639,1.030831901,1.13687879,1.346364397,1.027989512,0.9546906294,1.056565719
1989.5000,1.049373221,1.033525533,1.121442186,1.390620897,1.026596898,0.9581882591,1.04658571
1989.7500,1.04958764,1.034015183,1.114738486,1.413205881,1.026207072,0.9582292247,1.042720912
1990.0000,1.044634264,1.032667699,1.09136693,1.405736937,1.022025572,0.9646517534,1.032125528
1990.2500,1.047645748,1.037825201,1.101148172,1.409504642,1.021497172,0.9682440262,1.035996644
1990.5000,1.044150597,1.030541538,1.075763065,1.438577144,1.022744903,0.9631914395,1.022417094
1990.7500,1.036737284,1.021800331,1.048625781,1.4210994,1.021292235,0.9619618764,1.010642366
1991.0000,1.020836635,1.013115037,0.9975909082,1.433347284,1.011560129,0.9608862557,0.9940743702
